RANDOM	4	10	10	48	5886778720
RANDOM	8	10	10	48	9389065200
RANDOM	10	10	10	48	10794241520
RANDOM	12	10	10	48	11975256240
RANDOM	14	10	10	48	12858781040
RANDOM	16	10	10	48	13824898480
RANDOM	18	10	10	48	14463952560
RANDOM	20	10	10	48	15018661600
RANDOM	25	10	10	48	16425553000
RANDOM	30	10	10	48	17398971360
RANDOM	35	10	10	48	18150461000
RANDOM	4	20	10	48	10887247440
RANDOM	8	20	10	48	14580002640
RANDOM	10	20	10	48	16680258800
RANDOM	12	20	10	48	18025490560
RANDOM	14	20	10	48	18028287200
RANDOM	16	20	10	48	19466654080
RANDOM	18	20	10	48	19423662640
RANDOM	20	20	10	48	19564738720
RANDOM	25	20	10	48	20878725880
RANDOM	30	20	10	48	21406066400
RANDOM	35	20	10	48	21724052840
RANDOM	4	30	10	48	14974439120
RANDOM	8	30	10	48	17514226400
RANDOM	10	30	10	48	19415340240
RANDOM	12	30	10	48	20783912720
RANDOM	14	30	10	48	20522189520
RANDOM	16	30	10	48	21680352320
RANDOM	18	30	10	48	21587119520
RANDOM	20	30	10	48	21593354400
RANDOM	25	30	10	48	22642675080
RANDOM	30	30	10	48	22950308320
RANDOM	35	30	10	48	23112254200
RANDOM	4	50	10	48	19800747360
RANDOM	8	50	10	48	20712490560
RANDOM	10	50	10	48	22204929120
RANDOM	12	50	10	48	22920639520
RANDOM	14	50	10	48	22805216240
RANDOM	16	50	10	48	23547701440
RANDOM	18	50	10	48	23383652960
RANDOM	20	50	10	48	23393681760
RANDOM	25	50	10	48	24030335640
RANDOM	30	50	10	48	733694160
RANDOM	35	50	10	48	348003080
LOCAL	4	10	10	48	10889245280
LOCAL	8	10	10	48	15199234240
LOCAL	10	10	10	48	16505840400
LOCAL	12	10	10	48	17509303200
LOCAL	14	10	10	48	18304147200
LOCAL	16	10	10	48	18949302960
LOCAL	20	10	10	48	19932890400
LOCAL	25	10	10	48	20796454600
LOCAL	30	10	10	48	21414960480
LOCAL	35	10	10	48	21879750200
LOCAL	4	20	10	48	15371237600
LOCAL	8	20	10	48	19217422960
LOCAL	10	20	10	48	20229795440
LOCAL	12	20	10	48	20966117600
LOCAL	14	20	10	48	21525753120
LOCAL	16	20	10	48	21965484960
LOCAL	20	20	10	48	22612172720
LOCAL	25	20	10	48	23157590520
LOCAL	30	20	10	48	23536045680
LOCAL	35	20	10	48	23814020200
LOCAL	4	30	10	48	17815516320
LOCAL	8	30	10	48	21074565520
LOCAL	10	30	10	48	21874891360
LOCAL	12	30	10	48	22443081920
LOCAL	14	30	10	48	22867338560
LOCAL	16	30	10	48	23196208480
LOCAL	20	30	10	48	23672834400
LOCAL	25	30	10	48	5146463880
LOCAL	30	30	10	48	154360080
LOCAL	35	30	10	48	115894840
LOCAL	4	50	10	48	20412218480
LOCAL	8	50	10	48	22840376320
LOCAL	10	50	10	48	23397011440
LOCAL	12	50	10	48	23783419360
LOCAL	14	50	10	48	24067331120
LOCAL	16	50	10	48	177397600
LOCAL	20	50	10	48	156952400
LOCAL	25	50	10	48	166286600
LOCAL	30	50	10	48	111556800
LOCAL	35	50	10	48	104121000
